task_id,run_name,phase,phase_label,launch_group,queue_status,branch_family,method_family,artifact_kind,comparability_class,framework,artifact_dir,metrics_path,source_run_name,source_reference,notes
a30surr__asnpe_extended_v100_20260428,a30surr__asnpe_extended_v100_20260428,phaseSURR_active,phaseSURR_active,,COMPLETED,asnpe,asnpe_style_active_posterior_estimation,asnpe,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/asnpe_extended_v100_20260428,,a30surr__asnpe_extended_v100_20260428,,
a30surr__asnpe_primary_v100_20260426,a30surr__asnpe_primary_v100_20260426,phaseSURR_active,phaseSURR_active,,COMPLETED,asnpe,asnpe_style_active_posterior_estimation,asnpe,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/asnpe_primary_v100_20260426,,a30surr__asnpe_primary_v100_20260426,,
a30surr__asnpe_secondary_v100_20260426,a30surr__asnpe_secondary_v100_20260426,phaseSURR_active,phaseSURR_active,,COMPLETED,asnpe,asnpe_style_active_posterior_estimation,asnpe,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/asnpe_secondary_v100_20260426,,a30surr__asnpe_secondary_v100_20260426,,
a30surr__asnpe_smoke_local_20260426,a30surr__asnpe_smoke_local_20260426,phaseSURR_active,phaseSURR_active,,COMPLETED,asnpe,asnpe_style_active_posterior_estimation,asnpe,assumption_conditioned_surrogate_active_design_a30,,runs/phaseSURR_active/asnpe_smoke_local_20260426,,a30surr__asnpe_smoke_local_20260426,,
a30runall__bayesflow_deepset_posterior_v100_20260426,a30runall__bayesflow_deepset_posterior_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_set_posterior,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_set_posterior,runs/phaseLIT_aligned_runall/bayesflow_deepset_posterior_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_deepset_posterior_v100_20260426/metrics_summary.json,a30runall__bayesflow_deepset_posterior_v100_20260426,,
a30runall__bayesflow_fusion_transformer_v100_20260426,a30runall__bayesflow_fusion_transformer_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_temporal,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_temporal,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426/metrics_summary.json,a30runall__bayesflow_fusion_transformer_v100_20260426,,
a30runall__bayesflow_native_meanstd_v100_20260425,a30runall__bayesflow_native_meanstd_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_native,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425/metrics_summary.json,a30runall__bayesflow_native_meanstd_v100_20260425,,
a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_native_structured,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_native_structured,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425/metrics_summary.json,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,,
a30runall__bayesflow_native_structured_currfusion_v100_20260425,a30runall__bayesflow_native_structured_currfusion_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_native_structured,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_native_structured,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425/metrics_summary.json,a30runall__bayesflow_native_structured_currfusion_v100_20260425,,
a30runall__bayesflow_native_v100_20260425,a30runall__bayesflow_native_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_native,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425/metrics_summary.json,a30runall__bayesflow_native_v100_20260425,,
a30runall__bayesflow_set_posterior_v100_20260426,a30runall__bayesflow_set_posterior_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_set_posterior,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_set_posterior,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/metrics_summary.json,a30runall__bayesflow_set_posterior_v100_20260426,,
a30runall__bayesflow_temporal_transformer_v100_20260426,a30runall__bayesflow_temporal_transformer_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_temporal,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_temporal,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426/metrics_summary.json,a30runall__bayesflow_temporal_transformer_v100_20260426,,
a30runall__bayesflow_temporal_v100_20260426,a30runall__bayesflow_temporal_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,bayesflow,bayesflow_temporal,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,bayesflow_temporal,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426/metrics_summary.json,a30runall__bayesflow_temporal_v100_20260426,,
a30lit__generalized_bayes_npe_main_20260426,a30lit__generalized_bayes_npe_main_20260426,phaseLIT_new_methods,phaseLIT_new_methods,,COMPLETED,generalized_bayes_npe,generalized_bayes_npe_local_beta_conditioned,generalized_bayes_npe,assumption_conditioned_local_adaptation_not_exact_paper_code,,runs/phaseLIT_new_methods/generalized_bayes_npe_main_20260426,runs/phaseLIT_new_methods/generalized_bayes_npe_main_20260426/generalized_bayes_npe_manifest.json,a30lit__generalized_bayes_npe_main_20260426,,"This is a bounded assumption-conditioned adaptation of beta-conditioned generalized-Bayes NPE, using SNIS-style tempered Gibbs weights over a prior simulation bank for each observed surrogate bundle."
a30runall__fmpe_mlp_r2_pool4096_final2048,a30runall__fmpe_mlp_r2_pool4096_final2048,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,poolseq_sbi,fmpe,poolseq_sbi,assumption_conditioned_poolseq_sbi_a30,,runs/phaseLIT_aligned_runall/fmpe_mlp_r2_pool4096_final2048,runs/phaseLIT_aligned_runall/fmpe_mlp_r2_pool4096_final2048/metrics_summary.json,a30runall__fmpe_mlp_r2_pool4096_final2048,,
a30runall__snpe_maf_r3_pool4096_final2048,a30runall__snpe_maf_r3_pool4096_final2048,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,poolseq_sbi,snpe,poolseq_sbi,assumption_conditioned_poolseq_sbi_a30,,runs/phaseLIT_aligned_runall/snpe_maf_r3_pool4096_final2048,runs/phaseLIT_aligned_runall/snpe_maf_r3_pool4096_final2048/metrics_summary.json,a30runall__snpe_maf_r3_pool4096_final2048,,
a30lit__simformer_official_hh_primary_20260426,a30lit__simformer_official_hh_primary_20260426,phaseLIT_new_methods,phaseLIT_new_methods,,COMPLETED,simformer,simformer_official_score_transformer_hh_task,simformer,upstream_hh_benchmark_not_directly_comparable,,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426/simformer_hh_metrics_summary.json,a30lit__simformer_official_hh_primary_20260426,,"This is the official Simformer HH benchmark task from the upstream repository, run under a reduced training budget, not a direct port to the local Track4 assumption-conditioned workflow."
a30lit__simformer_official_hh_secondary_20260426,a30lit__simformer_official_hh_secondary_20260426,phaseLIT_new_methods,phaseLIT_new_methods,,COMPLETED,simformer,simformer_official_score_transformer_hh_task,simformer,upstream_hh_benchmark_not_directly_comparable,,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426/simformer_hh_metrics_summary.json,a30lit__simformer_official_hh_secondary_20260426,,"This is the official Simformer HH benchmark task from the upstream repository, run under a reduced training budget, not a direct port to the local Track4 assumption-conditioned workflow."
a30runall__swyft_native_aligned_currents_pool_v100_20260425,a30runall__swyft_native_aligned_currents_pool_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,swyft,swyft_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_native,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425/metrics_summary.json,a30runall__swyft_native_aligned_currents_pool_v100_20260425,,
a30runall__swyft_native_concat_small_v100_20260425,a30runall__swyft_native_concat_small_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,swyft,swyft_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_native,runs/phaseLIT_aligned_runall/swyft_native_concat_small_v100_20260425,runs/phaseLIT_aligned_runall/swyft_native_concat_small_v100_20260425/metrics_summary.json,a30runall__swyft_native_concat_small_v100_20260425,,
a30runall__swyft_native_v100_20260425,a30runall__swyft_native_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,swyft,swyft_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_native,runs/phaseLIT_aligned_runall/swyft_native_v100_20260425,runs/phaseLIT_aligned_runall/swyft_native_v100_20260425/metrics_summary.json,a30runall__swyft_native_v100_20260425,,
a30runall__temporal_cnn_aligned_v100_20260426,a30runall__temporal_cnn_aligned_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,temporal_deterministic,temporal_cnn_aligned,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,temporal_cnn_aligned,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426/metrics_summary.json,a30runall__temporal_cnn_aligned_v100_20260426,,
a30runall__swyft_tmnre_native_v100_20260425,a30runall__swyft_tmnre_native_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_native_v100_20260425,runs/phaseLIT_aligned_runall/swyft_tmnre_native_v100_20260425/metrics_summary.json,a30runall__swyft_tmnre_native_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_007,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_007/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_008,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_008/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_001,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_001/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_006,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_006/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_005,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_005/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_003,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_003/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_004,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_004/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_schedule_matrix_v100_20260425,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_002,runs/phaseLIT_aligned_runall/swyft_tmnre_schedule_matrix_v100_20260425/tmnre_sched_002/metrics_summary.json,a30runall__swyft_tmnre_schedule_matrix_v100_20260425,,
a30runall__swyft_tmnre_score_prune_structured_v100_20260426,a30runall__swyft_tmnre_score_prune_structured_v100_20260426,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_score_prune,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_score_prune,runs/phaseLIT_aligned_runall/swyft_tmnre_score_prune_structured_v100_20260426,runs/phaseLIT_aligned_runall/swyft_tmnre_score_prune_structured_v100_20260426/metrics_summary.json,a30runall__swyft_tmnre_score_prune_structured_v100_20260426,,
a30runall__swyft_tmnre_structured_stage1_v100_20260425,a30runall__swyft_tmnre_structured_stage1_v100_20260425,phaseLIT_aligned_runall,phaseLIT_aligned_runall,,COMPLETED,tmnre,swyft_tmnre_style_native,aligned_framework,assumption_conditioned_aligned_multicurrent_a30,swyft_tmnre_style_native,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425/metrics_summary.json,a30runall__swyft_tmnre_structured_stage1_v100_20260425,,
